executive_circuit_code,journey_id,plate,from_logical,to_logical,transition_label,duration_min
R7,2f3fd03d-72f2-4f0b-8e7b-a72b44d7d0fa,,CALADA,EGRESO,calada → egreso,12.44
R7,2f3fd03d-72f2-4f0b-8e7b-a72b44d7d0fa,,EGRESO,SL_INGRESO,egreso → san lorenzo ingreso,7.23
R7,2f3fd03d-72f2-4f0b-8e7b-a72b44d7d0fa,,SL_BALANZA_INGRESO,SL_EGRESO,balanza de entrada → egreso,19.50
R8,76a021db-49d9-4e01-90e4-7041aa1671a2__cycle_1,,INGRESO,PREINGRESO,ingreso → preingreso,2.08
R8,76a021db-49d9-4e01-90e4-7041aa1671a2__cycle_1,,PREINGRESO,LIQUIDO,preingreso → líquido,5.70
R8,76a021db-49d9-4e01-90e4-7041aa1671a2__cycle_1,,LIQUIDO,BALANZA_INGRESO,líquido → balanza ingreso,7.51
R7,68e300fe-e552-4b2f-8982-f53d47b0b6cb__cycle_2,,INGRESO,PREINGRESO,ingreso → preingreso,1.92
R7,68e300fe-e552-4b2f-8982-f53d47b0b6cb__cycle_2,,PREINGRESO,CALADA,preingreso → calada,30.15
R7,68e300fe-e552-4b2f-8982-f53d47b0b6cb__cycle_2,,CALADA,EGRESO,calada → egreso,13.36
R7,68e300fe-e552-4b2f-8982-f53d47b0b6cb__cycle_2,,EGRESO,SL_INGRESO,egreso → san lorenzo ingreso,8.98
R7,68e300fe-e552-4b2f-8982-f53d47b0b6cb__cycle_2,,SL_BALANZA_INGRESO,SL_EGRESO,balanza de entrada → egreso,28.10
R7,85edc8d2-58ea-4870-ab8d-7aa88f3390ab,,INGRESO,PREINGRESO,ingreso → preingreso,2.34
R7,85edc8d2-58ea-4870-ab8d-7aa88f3390ab,,PREINGRESO,CALADA,preingreso → calada,30.82
R7,85edc8d2-58ea-4870-ab8d-7aa88f3390ab,,CALADA,EGRESO,calada → egreso,249.61
R1,47093939-0370-4a3d-8a73-018b3f0811f5,,INGRESO,PREINGRESO,ingreso → preingreso,2.08
R1,47093939-0370-4a3d-8a73-018b3f0811f5,,PREINGRESO,CALADA,preingreso → calada,31.56
R1,47093939-0370-4a3d-8a73-018b3f0811f5,,CALADA,BALANZA_INGRESO,calada → balanza ingreso,6.65
R8,1d9d2813-fb89-4f91-8b0c-b36969df72db__cycle_1,,INGRESO,PREINGRESO,ingreso → preingreso,1.50
